user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
4300178	4	147.50 	7	1049	3	0	0	0
43538452	5	150.71 	60	114	2	0	0	0
44123568	4	100.00 	27	110	1	1	0	0
46569685	5	107.50 	25	92	1	0	0	0
47230198	4	56.25 	55	82	3	1	0	0
47263840	7	159.29 	70	82	1	1	0	0
47707864	3	11.67 	6	74	2	0	0	0
48574074	1	16.25 	4	55	3	0	0	0
48638852	4	100.00 	34	53	2	1	0	0
49034128	5	18.33 	27	38	2	2	0	0
49192860	5	90.00 	42	32	3	3	0	0
49208694	4	136.43 	27	31	3	2	0	0
49234853	1	13.33 	5	31	1	0	0	0
49337340	4	113.57 	38	29	3	1	0	0
49367125	3	110.00 	6	28	4	1	0	0
49500713	2	6.25 	6	25	1	1	0	0
49533018	0	5.00 	3	24	1	0	1	0
49635442	3	11.67 	3	21	4	1	0	0
49705463	3	80.83 	9	20	3	2	0	0
49741800	3	92.50 	8	19	1	1	0	0
49751593	4	78.57 	19	19	3	15	0	0
49803148	3	6.67 	7	18	2	0	0	0
49851560	3	108.33 	9	16	3	1	0	0
49853065	2	27.00 	9	16	3	1	0	0
49872182	3	60.00 	8	16	3	2	0	0
49904893	3	87.86 	8	15	1	0	0	0
49923394	0	45.00 	3	15	3	0	2	0
49937758	3	22.50 	5	14	2	2	0	0
49989796	3	52.14 	19	13	3	13	0	0
49993303	3	80.83 	7	13	4	1	0	0
50045555	1	21.67 	4	11	2	0	0	0
50059212	3	21.00 	6	11	1	5	0	0
50063510	3	97.50 	8	11	3	0	0	0
50110067	3	84.29 	9	9	3	0	3	0
50132824	0	112.50 	3	8	3	1	0	0
50137185	2	34.29 	8	8	3	8	0	0
50153754	1	21.25 	8	8	2	0	0	0
50223187	2	57.00 	5	5	2	1	0	0
50300866	2	118.33 	3	3	1	4	0	0
50308412	0	20.00 	5	3	5	1	1	0
50315993	0	32.50 	3	2	3	2	0	0
5108636	4	72.50 	73	987	1	0	0	0
5616010	4	28.00 	55	957	1	6	0	0
5901750	5	46.43 	142	916	2	0	0	0
6159077	6	135.00 	141	888	1	1	0	0
6198270	4	111.67 	66	883	3	1	3	1
6370143	4	61.67 	98	869	1	1	0	0
6669001	4	100.00 	143	837	1	1	0	0
6727031	2	45.83 	7	833	3	14	0	0
6960572	3	108.00 	7	816	4	1	0	0
7127473	4	8.33 	66	802	2	0	0	0
7392157	3	20.83 	71	784	5	0	2	0
7509813	1	27.50 	66	777	1	3	0	0
7545149	4	18.33 	48	774	1	0	0	0
776375	1	65.00 	24	2481	3	0	0	0
7797576	4	102.50 	127	760	4	0	1	0
7822993	4	135.00 	39	758	1	0	0	0
7859953	5	121.00 	154	756	2	0	0	0
7934363	3	67.50 	44	753	1	1	0	0
8173273	3	90.83 	7	744	3	1	0	0
8181729	4	6.67 	59	744	2	0	0	0
8314274	6	37.86 	187	738	1	0	0	0
8430250	4	109.17 	22	734	2	3	0	0
8516476	6	26.67 	168	731	2	3	0	0
8697720	4	38.57 	226	724	1	1	0	0
9175668	5	72.50 	118	714	2	0	0	0
9822685	4	10.00 	28	702	2	0	0	0
1014326	5	42.50 	84	2244	1	0	0	0
10484282	2	77.00 	7	686	4	1	1	0
11371112	4	94.00 	64	626	1	5	0	0
11572691	4	45.00 	68	607	1	0	0	0
11909139	3	80.00 	56	571	1	0	0	0
12072633	4	20.00 	19	558	3	0	0	0
12180699	4	67.14 	163	550	1	0	0	0
12692819	4	100.71 	22	527	3	4	0	0
1275692	4	15.00 	62	2110	1	0	0	0
13686490	5	23.75 	106	478	1	1	0	0
13791245	0	15.00 	28	474	2	0	0	0
14511895	4	95.00 	72	416	1	1	0	0
14617434	3	21.25 	7	411	4	8	0	0
14951077	4	80.00 	217	396	2	2	0	0
15222243	3	81.67 	9	385	3	3	1	0
1564400	4	21.67 	22	1906	1	1	0	0
15831453	4	46.67 	103	373	1	1	0	0
1600996	4	112.50 	102	1889	1	0	0	0
16488480	5	140.71 	37	362	3	6	0	0
16716897	4	103.57 	28	358	3	4	1	1
16903293	4	125.00 	69	356	1	1	0	0
1696728	4	67.00 	119	1810	4	4	0	0
17059549	4	95.00 	72	354	1	1	0	0
17252980	5	71.43 	208	352	1	1	0	0
17350329	3	32.00 	8	351	4	2	0	0
17688891	3	41.67 	52	347	1	0	0	0
17927577	5	24.17 	111	345	2	1	0	0
18075592	4	114.29 	36	344	2	2	0	0
1825635	5	26.67 	120	1757	2	1	0	0
1853327	5	20.00 	59	1748	1	3	0	0
18594649	1	24.17 	9	339	1	0	0	0
19022293	4	70.00 	106	335	2	0	0	0
19665224	4	71.67 	84	321	2	1	0	0
19907046	4	57.14 	25	313	2	8	0	0
20400270	3	85.00 	22	300	2	1	0	0
20551379	4	7.50 	131	297	1	0	0	0
20912873	8	166.43 	96	289	3	5	0	0
